class,precision,recall,f1_score,support
Clean-table,0.8908130775801817,0.7112475198412699,0.7909670746423031,16128.0
Nothing,0.9124445939959379,0.9767904114026563,0.9435217194309616,385875.0
Pick-up-backpack,0.881859756097561,0.7173859126984127,0.7911652078774617,16128.0
Push-chair,0.9193798449612403,0.6985987103174603,0.7939259415847514,16128.0
Sit-on-chair,0.7221502590673575,0.6859849883105698,0.703603205654067,16254.0
Sit-on-couch,0.7478838174273859,0.5544481358434847,0.6368004522328999,16254.0
Sit-on-table,0.8475035890891689,0.6588541666666666,0.7413660782808903,16128.0
Stand-on-couch,0.9446391659926305,0.6466715885320536,0.7677586647675395,16254.0
Wear-backpack,0.8874568469505179,0.7062271062271063,0.7865374808771035,16380.0
