session,rows,trials,time_min,time_max,Chair_non_null,Chair_nan,Couch_non_null,Couch_nan,Table_non_null,Table_nan,Backpack_non_null,Backpack_nan
Sub6-bi-001,6879,8,0.0,3500.0,0.3586277075156273,0.6413722924843728,0.546591074284053,0.4534089257159471,0.4574792847797645,0.5425207152202355,0.12778020061055387,0.8722197993894462
Sub6-bi-002,6851,8,0.0,3500.0,0.38534520507955045,0.6146547949204496,0.5642971828930083,0.43570281710699166,0.21734053422857977,0.7826594657714202,0.08071814333673916,0.9192818566632608
Sub6-bi-003,68437,80,0.0,3500.0,0.3566491809985826,0.6433508190014173,0.5200549410406652,0.47994505895933487,0.21337872788111695,0.7866212721188831,0.20360331399681458,0.7963966860031854
Sub6-bi-004,6854,8,0.0,3500.0,0.582141814998541,0.417858185001459,0.5302013422818792,0.4697986577181208,0.30668222935512107,0.6933177706448789,0.10636124890574847,0.8936387510942515
Sub6-bi-005,69412,81,0.0,3500.0,0.3946435774793984,0.6053564225206016,0.5282660058779461,0.4717339941220538,0.20580014983000058,0.7941998501699994,0.2155390998674581,0.7844609001325419
Sub6-bi-006,102811,120,0.0,3500.0,0.3645524311600899,0.6354475688399102,0.5066383947243,0.49336160527570005,0.29064983318905563,0.7093501668109443,0.15540165935551642,0.8445983406444836
sub2b,96797,112,0.0,3500.0,0.3903116832133227,0.6096883167866772,0.5271031126997737,0.4728968873002262,0.3800840935152949,0.6199159064847051,0.41900058886122504,0.580999411138775
sub3,90460,105,0.0,3500.0,0.39103471147468494,0.6089652885253151,0.517643157196551,0.48235684280344904,0.3150121600707495,0.6849878399292505,0.3666924607561353,0.6333075392438647
sub4-001,27411,33,0.0,3500.0,0.3721133851373536,0.6278866148626464,0.39717631607748716,0.6028236839225128,0.23662033490204662,0.7633796650979534,0.44996534238079605,0.550034657619204
sub4-002,41485,81,0.0,3500.0,0.40795468241533084,0.5920453175846692,0.3548029408219838,0.6451970591780162,0.3094130408581415,0.6905869591418585,0.31064240086778355,0.6893575991322165
sub4-003,68425,80,0.0,3500.0,0.4160321519912313,0.5839678480087688,0.3742784070149799,0.6257215929850201,0.2784216295213738,0.7215783704786263,0.3216660577274388,0.6783339422725612
sub4-004,103702,121,0.0,3500.0,0.5431621376636901,0.4568378623363098,0.4205801238163198,0.5794198761836802,0.30983009006576534,0.6901699099342347,0.4040327091087925,0.5959672908912075
sub5-b-002,82743,96,0.0,3500.0,0.5241651861788913,0.47583481382110876,0.4771642314153463,0.5228357685846536,0.3979671996422658,0.6020328003577342,0.5014079740884425,0.4985920259115575
sub5-b-003,69621,81,0.0,3500.0,0.452047514399391,0.547952485600609,0.4537567687910257,0.5462432312089743,0.3469642780195631,0.6530357219804369,0.469829505465305,0.530170494534695
sub5-b-004,110260,128,0.0,3500.0,0.4867585706511881,0.5132414293488119,0.5350081625249411,0.46499183747505896,0.35161436604389623,0.6483856339561037,0.48897152185742787,0.5110284781425721
